Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Darren Morningstar,23,4.2,3.5,0.7,47.6,-,60.0,47.6,8.9,0.4
Darren Tillis,124,3.4,2.5,0.3,42.3,0.0,62.6,42.3,10.0,0.9
Darrick Martin,514,6.9,1.1,2.9,38.2,34.0,84.3,43.8,12.5,9.6
Darrin Hancock,133,3.5,1.3,0.7,53.0,33.3,57.9,53.2,10.5,1.1
Darrun Hilliard,91,3.2,0.9,0.8,37.7,30.4,74.7,43.3,7.7,0.3
Darryl Dawkins,726,12.0,6.1,1.3,57.2,13.3,68.5,57.2,15.8,46.4
Darryl Johnson,11,1.1,0.2,0.1,41.7,0.0,100.0,41.7,9.7,0.0
Darryl Watkins,14,2.5,2.8,0.2,41.4,-,47.8,41.4,6.5,-0.1
Darvin Ham,417,2.7,2.3,0.5,51.8,25.0,49.4,52.0,9.0,5.6
Darwin Cook,612,9.5,2.1,3.7,45.3,19.6,76.4,45.8,13.8,22.9
Daryl Macon,12,2.7,1.0,0.7,36.7,46.2,57.1,46.7,4.4,-0.1
Dave Batton,58,3.2,2.1,0.6,44.8,0.0,47.1,44.8,10.2,0.7
Dave Bing,901,20.3,3.8,6.0,44.1,null,77.5,null,17.6,68.8
Dave Britton,2,2.0,1.0,1.5,66.7,-,-,66.7,18.0,0.0
Dave Budd,353,7.1,4.6,1.0,46.0,null,68.2,null,12.7,11.7
Dave Corzine,891,8.5,5.9,1.7,48.4,18.9,74.7,48.5,13.6,37.3
Dave Cowens,766,17.6,13.6,3.8,46.0,7.1,78.3,46.0,17.0,86.3
Dave DeBusschere,875,16.1,11.0,2.9,43.2,null,69.9,null,15.5,60.8
Dave Deutsch,19,1.1,1.1,0.8,16.7,null,45.0,null,2.4,-0.5
Dave Fedor,7,0.9,0.9,0.1,30.0,null,0.0,null,2.2,-0.1
Dave Feitl,275,4.3,3.0,0.5,43.3,0.0,75.1,43.3,9.8,1.4
Dave Gambee,750,10.6,5.2,1.0,42.0,null,82.2,null,14.5,35.1
Dave Greenwood,823,10.2,7.9,2.0,47.7,13.8,76.5,47.8,13.6,46.4
Dave Gunther,1,2.0,3.0,3.0,50.0,null,-,null,31.6,0.0
Dave Henderson,22,5.7,1.6,1.5,40.5,0.0,68.1,40.5,6.7,-0.4
Dave Hoppen,169,5.0,3.8,0.6,51.8,20.0,75.1,51.9,11.3,3.6
Dave Jamerson,90,3.4,0.9,0.7,39.2,27.7,86.0,41.3,12.0,0.2
Dave Johnson,59,3.5,1.1,0.3,36.5,20.0,66.3,37.2,7.5,-0.3
Dave Lattin,263,7.2,5.1,0.7,47.7,0.0,63.1,47.7,13.6,6.3
Dave Magley,14,0.9,0.7,0.1,25.0,0.0,50.0,25.0,3.9,-0.1
Dave Meyers,281,11.2,6.3,2.3,46.1,20.0,67.6,46.1,14.1,13.4
Dave Minor,116,7.6,4.5,2.5,36.0,null,75.4,null,11.8,3.6
Dave Newmark,176,5.7,3.9,0.7,42.0,-,64.9,42.0,12.3,1.9
Dave Piontek,413,7.2,4.3,1.2,39.1,null,65.2,null,11.7,7.0
