Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Cedric Simmons,75,2.2,1.9,0.2,40.9,-,39.0,40.9,7.3,0.1
Cedrick Hordges,145,7.6,5.9,1.2,47.5,18.8,63.9,47.7,10.6,2.2
Cezary Trybański,22,0.7,0.7,0.0,20.8,-,41.7,20.8,-3.0,-0.5
Chad Gallagher,2,3.0,0.0,0.0,100.0,-,-,100.0,66.8,0.1
Chad Kinch,41,2.9,0.8,1.1,36.9,-,77.8,36.9,7.0,-0.5
Chandler Hutchison,55,5.4,4.0,0.8,45.1,30.6,61.6,48.8,8.9,0.7
Chandler Parsons,440,12.7,4.5,2.7,46.2,37.3,71.3,53.6,14.7,28.9
Channing Frye,890,8.7,4.5,1.0,44.0,38.8,82.2,51.9,13.3,38.9
Charles Barkley,1073,22.1,11.7,3.9,54.1,26.6,73.5,55.8,24.6,177.2
Charles Beasley,281,9.4,2.5,3.1,45.6,23.8,86.4,46.3,11.9,15.4
Charles Bradley,110,3.2,1.1,0.5,41.6,0.0,58.5,41.6,8.4,0.3
Charles Claxton,3,0.7,0.7,0.0,50.0,-,0.0,50.0,0.2,0.0
Charles Cooke,13,0.5,0.2,0.1,14.3,12.5,50.0,17.9,-5.1,-0.2
Charles Davis,415,5.3,2.4,0.7,45.1,17.0,73.7,45.5,11.6,5.8
Charles Dudley,361,5.3,3.0,3.4,49.7,null,67.2,null,14.0,14.0
Charles Edge,155,7.7,6.3,0.7,50.2,0.0,63.2,50.2,16.3,6.5
Charles Hentz,57,6.0,6.8,0.5,46.9,0.0,58.2,46.9,11.5,1.3
Charles Jenkins,110,3.7,0.9,1.9,43.4,18.2,75.4,43.9,10.7,0.5
Charles Johnson,521,8.1,2.5,1.9,42.9,null,75.6,null,12.5,13.4
Charles Jones,726,2.5,4.5,0.9,48.0,0.0,61.8,48.0,9.2,24.6
Charles Jones,201,5.0,3.8,1.0,49.3,11.1,61.1,49.4,12.2,4.5
Charles Jones,85,3.5,1.2,1.6,32.4,32.4,62.2,41.4,9.4,0.0
Charles Jordan,71,5.2,3.0,0.7,43.4,20.0,59.7,43.7,9.7,0.3
Charles O'Bannon,48,2.5,1.4,0.6,40.0,0.0,87.0,40.0,11.7,0.6
Charles Oakley,1282,9.7,9.5,2.5,47.1,25.3,76.1,47.4,13.4,89.7
Charles Parks,2,0.0,0.0,0.0,0.0,-,-,0.0,-10.8,0.0
Charles Pittman,234,4.5,3.1,0.9,54.6,0.0,71.1,54.6,10.1,4.2
Charles Shackleford,303,5.4,4.8,0.6,48.3,0.0,65.4,48.3,13.1,7.3
Charles Smith,564,14.4,5.8,1.4,47.5,19.4,77.4,47.7,15.7,40.9
Charles Smith,73,2.5,1.0,1.6,43.3,0.0,67.5,43.3,11.9,0.9
Charles Smith,142,5.1,1.4,0.9,40.9,28.8,60.6,45.9,11.5,1.5
Charles Thomas,36,1.3,0.6,0.6,35.3,11.8,66.7,37.3,6.1,-0.1
Charles Williams,372,16.2,3.1,2.7,39.0,26.4,71.3,40.7,11.0,5.7
Charley Shipp,23,4.7,-,2.0,25.5,null,72.5,null,-,-0.6
Charlie Bell,376,8.5,2.2,2.3,41.2,36.1,76.9,48.8,11.2,12.5
Charlie Black,136,9.2,2.4,2.3,28.3,null,60.1,null,1.1,4.3
Charlie Brown,4,1.8,0.8,0.0,33.3,100.0,100.0,50.0,21.5,0.1
Charlie Criss,418,8.5,1.4,3.2,43.2,17.9,83.1,43.5,12.8,13.7
Charlie Davis,144,8.9,1.5,2.2,40.8,null,80.6,null,11.9,1.4
Charlie Hardnett,164,7.3,5.7,0.6,42.3,null,64.7,null,15.4,3.0
Charlie Hoefer,65,5.6,-,0.6,25.0,null,64.6,null,-,0.9
Charlie Lowery,20,2.3,1.0,0.7,44.7,null,61.1,null,10.5,0.2
Charlie Parsley,9,2.4,-,0.9,25.8,null,85.7,null,-,0.0
Charlie Paulk,120,6.2,3.9,0.3,39.2,null,61.1,null,9.8,-0.9
Charlie Scott,717,20.7,4.0,4.9,44.8,25.3,77.3,44.9,15.8,41.4
Charlie Sitton,43,2.1,1.4,0.6,41.5,0.0,52.0,41.5,8.0,0.1
Charlie Tyra,348,8.9,7.4,0.9,38.7,null,67.2,null,11.9,5.0
Charlie Villanueva,656,10.4,4.6,0.8,43.5,34.1,77.2,49.4,16.0,22.6
Charlie Ward,630,6.3,2.6,4.0,40.8,36.4,77.1,50.2,13.8,33.0
Charlie Yelverton,69,7.9,2.9,1.2,38.9,null,70.7,null,10.3,-0.5
Chase Budinger,407,7.9,3.0,1.2,43.0,35.2,79.7,50.4,13.0,13.9
Chasson Randle,75,5.4,1.2,1.7,41.6,38.3,80.0,51.4,11.0,1.3
Chauncey Billups,1043,15.2,2.9,5.4,41.5,38.7,89.4,49.5,18.8,120.8
Cheese Johnson,9,3.0,1.6,0.2,40.0,-,60.0,40.0,9.4,0.0
Cheick Diallo,156,5.4,4.3,0.4,59.5,40.0,76.0,59.6,17.5,5.7
Cheikh Samb,22,1.0,1.4,0.0,25.0,0.0,44.4,25.0,7.1,-0.1
Cherokee Parks,472,4.4,3.6,0.6,47.0,21.1,63.0,47.2,12.0,11.8
Chet Aubuchon,30,2.2,-,0.7,25.3,null,54.3,null,-,1.2
Chet Carlisle,51,5.0,-,0.3,26.8,null,60.9,null,-,1.6
Chet McNabb,2,0.0,-,0.0,0.0,null,-,null,-,0.0
Chet Walker,1032,18.2,7.1,2.1,47.0,null,79.6,null,17.6,117.4
Chick Halbert,303,8.8,7.9,1.4,31.4,null,63.3,null,-,17.3
Chick Reiser,171,10.4,-,2.0,32.1,null,77.2,null,-,13.2
Chico Vaughn,491,11.9,2.5,2.1,39.2,30.1,73.8,42.0,12.1,18.0
Chimezie Metu,40,2.0,1.3,0.4,40.0,0.0,73.9,40.0,12.7,0.0
Chinanu Onuaku,6,3.0,2.3,0.7,58.3,-,100.0,58.3,7.7,0.1
