Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Joel Embiid,260,24.8,11.3,3.1,48.7,32.9,80.8,52.0,25.9,31.6
Jo Jo English,50,3.6,1.1,0.9,41.6,34.4,55.6,44.7,6.4,0.0
James Ennis,388,6.7,3.3,1.0,45.7,36.0,79.7,53.7,11.7,16.1
Julius Erving,1243,24.2,8.5,4.2,50.6,29.8,77.7,50.9,23.6,181.1
Jack Eskridge,23,2.8,-,0.6,36.2,null,70.0,null,-,0.6
Jacob Evans,59,2.8,1.1,0.9,33.7,31.5,83.3,38.2,4.8,-0.6
Jawun Evans,56,4.2,1.7,2.0,34.5,26.3,77.6,37.3,6.7,-0.4
Jeremy Evans,250,3.5,2.6,0.4,56.9,23.1,68.7,57.3,17.3,8.2
Johnny Ezersky,135,7.6,-,1.3,28.8,null,66.9,null,-,1.5
Joe Fabel,30,2.1,-,0.1,26.0,null,50.0,null,-,-0.2
John Fairchild,165,6.6,3.2,0.7,40.4,36.8,68.1,41.0,11.9,1.8
Jordan Farmar,504,7.7,1.9,2.9,42.3,37.4,73.9,50.7,13.3,13.9
Jim Farmer,136,5.3,1.4,0.8,42.8,28.2,73.0,44.5,10.9,0.7
Jamie Feick,201,4.5,7.1,0.7,42.4,40.0,62.9,43.2,12.4,8.2
Jake Fendley,103,2.8,1.2,0.9,34.4,null,74.2,null,10.2,2.1
Jerry Fleishman,262,5.8,4.6,1.6,27.7,null,63.8,null,13.6,7.8
Jonny Flynn,163,9.2,1.9,3.9,40.0,33.8,80.9,44.2,11.3,-1.1
Jack Foley,11,4.8,1.5,0.5,39.2,null,86.7,null,15.6,0.1
Jeff Foote,4,1.0,1.5,0.0,33.3,-,-,33.3,-0.9,-0.1
Jake Ford,31,4.1,0.6,1.1,46.2,null,76.4,null,15.4,0.7
Joseph Forte,25,1.2,0.7,0.7,23.4,0.0,80.0,23.4,3.2,-0.4
Jeff Foster,764,4.9,6.9,0.9,49.7,13.0,61.5,49.8,14.2,47.5
Jimmy Foster,89,3.7,1.3,2.1,37.3,7.1,67.3,37.4,5.3,-1.4
Jerry Fowler,6,1.5,1.7,0.3,30.8,null,25.0,null,3.8,-0.1
Jim Fox,743,9.3,7.4,1.6,47.9,null,77.0,null,15.2,41.8
Jamaal Franklin,24,1.8,1.0,0.4,41.5,46.2,100.0,48.8,4.7,0.0
Jimmer Fredette,241,6.0,1.0,1.4,40.9,37.2,87.9,48.4,12.5,2.2
Joel Freeland,151,3.2,3.4,0.4,45.9,0.0,72.8,45.9,11.1,3.2
Jim Fritsche,84,3.9,3.0,0.9,30.9,null,73.8,null,7.7,-1.6
Joe Fulks,489,16.4,5.3,1.2,30.2,null,76.6,null,10.8,29.2
Jorge Garbajosa,74,8.0,4.7,1.7,41.5,34.4,73.1,48.0,12.0,3.0
Jack Garfinkel,92,5.2,-,1.5,27.5,null,70.5,null,-,0.9
John Garris,33,4.0,2.3,0.3,51.0,-,79.4,51.0,18.5,0.9
Jim Garvin,6,0.3,0.8,0.0,25.0,null,-,null,3.9,0.0
Jack George,506,10.2,4.2,4.3,36.4,null,70.4,null,12.3,17.7
John Gianelli,541,7.8,5.9,1.5,47.0,-,70.2,47.0,11.7,23.0
Jonathan Gibson,21,6.7,1.2,1.4,41.5,36.8,72.4,50.4,11.8,0.0
J.R. Giddens,38,1.9,1.4,0.3,47.6,0.0,56.5,47.6,9.7,0.1
Jack Gillespie,2,1.0,3.5,0.0,0.0,-,100.0,0.0,0.8,-0.1
