Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Pape Sy,3,2.3,1.0,0.7,33.3,0.0,100.0,33.3,9.2,0.0
Peter Thibeaux,93,5.0,1.5,0.5,45.3,28.6,62.6,45.6,10.5,0.1
Paul Thompson,154,8.9,3.5,1.5,43.2,21.0,79.2,43.8,13.7,4.9
P.J. Tucker,706,7.1,5.7,1.4,41.9,35.9,74.8,50.4,10.2,35.0
Pete Verhoeven,282,3.5,2.3,0.5,50.5,25.0,68.9,50.5,10.3,5.2
Phillip Wagner,12,3.0,1.9,1.2,26.8,25.0,76.5,28.0,0.5,-0.1
Phil Walker,40,4.5,1.3,1.4,35.4,null,66.7,null,9.0,-0.4
Paul Walther,370,7.7,3.7,2.6,36.2,null,70.8,null,12.9,20.3
Perry Warbington,5,2.0,1.6,3.2,19.0,null,100.0,null,3.1,-0.3
P.J. Washington,122,12.6,6.0,2.3,44.7,38.1,69.8,52.5,12.9,4.7
Pearl Washington,194,8.6,1.9,3.8,45.2,18.4,74.6,45.8,12.4,1.9
Paul Watson,37,3.8,1.7,0.7,44.4,44.7,70.6,60.2,11.3,0.8
Paul Westphal,823,15.6,1.9,4.4,50.4,27.5,82.0,50.6,19.4,67.7
Patrick Williams,71,9.2,4.6,1.4,48.3,39.1,72.8,53.4,10.5,2.5
Pete Williams,58,2.6,2.5,0.3,60.2,-,42.5,60.2,11.4,1.4
Perry Young,9,1.4,0.9,0.8,28.6,-,50.0,28.6,3.0,-0.1
Phil Zevenbergen,8,3.8,1.6,0.4,55.6,-,0.0,55.6,13.7,0.0
Paul Zipser,98,4.7,2.6,0.8,37.1,33.5,76.9,44.8,6.1,0.0
